receiver_ip,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,timestamp,ant,sig_len,rx_state,real_time,len,csi_data
192.168.4.5,00:4B:12:9B:47:81,-65,11,1,6,0,1,1,1,0,0,0,-97,1,1,0,12926565,0,94,0,13.3106,256,[94 96 5 0 -25 -15 -25 -16 -24 -12 -24 -14 -23 -14 -23 -12 -23 -13 -23 -12 -23 -10 -24 -8 -23 -7 -23 -7 -25 -8 -23 -7 -26 -8 -22 -8 -23 -8 -23 -9 -20 -8 -22 -10 -20 -10 -19 -9 -20 -10 -17 -10 -17 -12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -21 -9 -21 -11 -21 -13 -22 -14 -20 -14 -20 -16 -20 -16 -20 -17 -19 -18 -20 -18 -19 -20 -21 -20 -19 -19 -19 -20 -22 -20 -20 -20 -21 -19 -19 -18 -23 -17 -21 -18 -22 -18 -22 -18 -21 -17 -25 -17 -25 -16 -25 -18 ]
192.168.4.4,00:4B:12:9B:47:81,-81,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,18978471,0,94,0,19.3587,256,[94 96 5 0 -5 -21 -10 -21 -10 -23 -10 -23 -11 -20 -12 -21 -12 -22 -10 -20 -13 -18 -15 -18 -15 -15 -16 -25 -15 -18 -16 -21 -19 -17 -16 -16 -15 -20 -16 -20 -12 -20 -14 -26 -11 -18 -13 -22 -6 -20 -7 -22 -6 -23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -7 -19 -5 -17 2 -19 -2 -18 0 -22 0 -20 2 -20 0 -22 0 -22 1 -21 1 -22 5 -22 1 -20 1 -20 3 -19 -3 -21 2 -21 -1 -18 1 -22 0 -19 -1 -18 -3 -20 -5 -22 -7 -24 0 -21 -5 -24 ]
192.168.4.3,00:4B:12:9B:47:81,-73,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,20706202,0,94,0,21.1546,256,[94 96 5 0 18 18 18 18 16 17 18 17 16 15 17 15 15 13 14 13 15 11 16 12 18 8 14 7 15 11 13 9 16 10 14 9 13 10 13 10 10 8 9 11 10 9 8 9 8 11 8 10 6 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 16 19 18 19 19 18 22 17 21 17 21 18 22 16 24 15 25 15 24 16 24 14 25 15 25 16 25 13 23 14 23 14 23 15 21 16 22 16 20 17 20 19 19 17 20 19 21 20 20 21 20 ]
192.168.4.5,00:4B:12:9B:47:81,-67,11,1,7,0,1,1,1,0,0,0,-97,1,1,0,12937891,0,94,0,13.3216,256,[94 96 5 0 -26 10 -24 9 -23 10 -22 11 -22 10 -21 11 -21 11 -20 12 -20 12 -19 12 -19 13 -20 12 -19 14 -19 14 -19 13 -19 13 -19 13 -19 13 -20 11 -20 10 -18 9 -19 8 -19 7 -19 6 -18 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -16 8 -16 8 -18 7 -19 7 -19 6 -20 6 -21 5 -20 4 -22 5 -23 4 -23 3 -24 3 -23 3 -23 2 -22 3 -24 4 -22 4 -23 5 -23 5 -23 6 -23 7 -23 7 -23 7 -24 9 -25 8 -24 9 ]
192.168.4.4,00:4B:12:9B:47:81,-77,11,1,5,0,1,1,1,0,0,0,-97,1,1,0,18988889,0,94,0,19.3688,256,[94 96 5 0 12 -21 11 -23 12 -21 9 -22 8 -21 9 -18 10 -21 6 -21 8 -19 5 -22 7 -20 8 -19 3 -17 4 -21 3 -19 6 -20 4 -18 7 -17 5 -15 5 -16 6 -16 8 -14 6 -13 9 -12 7 -11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 -22 9 -24 10 -24 11 -24 12 -24 14 -21 14 -24 16 -21 16 -20 20 -19 19 -22 17 -23 17 -20 17 -18 18 -16 17 -22 14 -20 17 -20 14 -22 16 -18 16 -21 15 -23 14 -21 14 -22 16 -22 10 -22 ]
192.168.4.5,00:4B:12:9B:47:81,-68,11,1,7,0,1,1,1,0,0,0,-97,1,1,0,12946955,0,94,0,13.3306,256,[94 96 5 0 -2 -22 -2 -22 -2 -22 -3 -22 -3 -21 -3 -21 -4 -21 -6 -21 -6 -20 -7 -20 -6 -19 -7 -20 -7 -20 -8 -21 -8 -20 -7 -21 -6 -21 -6 -20 -5 -21 -5 -21 -3 -20 -3 -19 -2 -19 -1 -20 0 -19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 -17 -2 -18 -1 -18 1 -18 1 -19 1 -19 2 -19 3 -20 3 -20 3 -20 3 -20 4 -21 4 -20 4 -20 4 -20 3 -20 4 -21 3 -20 2 -20 2 -20 1 -21 1 -21 -1 -22 -1 -22 -1 -22 -2 -24 ]
192.168.4.3,00:4B:12:9B:47:81,-74,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,20723829,0,94,0,21.1719,256,[94 96 5 0 -19 13 -20 14 -21 12 -17 12 -18 11 -17 11 -15 10 -15 12 -14 12 -14 12 -12 12 -14 11 -13 13 -11 12 -12 12 -12 13 -11 12 -12 10 -12 8 -10 7 -10 9 -11 7 -11 7 -13 4 -11 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -18 12 -20 13 -20 13 -21 11 -22 10 -22 9 -24 9 -23 9 -25 9 -24 9 -24 9 -25 8 -24 6 -24 6 -23 6 -25 9 -22 10 -22 7 -22 10 -22 11 -20 11 -21 12 -20 11 -22 11 -22 13 -22 14 ]
192.168.4.4,00:4B:12:9B:47:81,-85,11,1,3,0,1,1,1,0,0,0,-97,1,1,0,19000140,0,94,0,19.38,256,[94 96 5 0 10 8 12 10 15 8 12 6 11 5 16 3 11 8 14 5 18 6 22 2 15 0 18 1 15 1 19 0 19 -2 23 6 21 2 20 -2 16 3 21 6 16 7 18 4 18 10 16 6 15 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 10 6 9 2 9 6 13 5 9 4 10 4 11 6 15 8 16 1 14 6 15 0 13 5 12 7 15 2 15 7 14 2 15 4 13 10 10 6 14 7 11 15 9 9 4 11 8 13 13 8 11 ]
192.168.4.5,00:4B:12:9B:47:81,-67,11,1,6,0,1,1,1,0,0,0,-97,1,1,0,12966273,0,94,0,13.3499,256,[94 96 5 0 23 9 23 9 23 9 22 8 23 8 22 6 22 5 23 4 22 4 24 3 22 3 23 3 23 3 23 2 23 3 22 3 23 3 23 4 21 3 21 5 20 5 20 6 19 7 18 7 18 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 4 17 5 17 7 18 8 17 8 18 10 17 11 17 11 17 12 18 12 18 13 19 13 19 13 18 14 18 13 18 13 18 13 19 11 19 11 19 11 20 10 21 10 22 10 23 10 22 10 24 11 ]
192.168.4.3,00:4B:12:9B:47:81,-72,11,1,4,0,1,1,1,0,0,0,-97,1,1,0,20747444,0,94,0,21.1955,256,[94 96 5 0 -4 24 -2 26 0 22 -3 23 -2 22 1 20 1 19 2 22 3 17 3 19 2 18 3 18 6 18 3 16 4 18 3 18 4 15 3 15 4 13 2 13 2 14 3 12 1 13 0 12 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -3 23 -6 23 -7 24 -8 24 -9 22 -10 26 -10 24 -11 22 -11 26 -13 25 -12 24 -12 24 -12 25 -12 24 -12 25 -10 23 -11 25 -9 24 -8 24 -9 25 -5 22 -8 26 -5 24 -4 25 -6 26 -6 24 ]
